type,pair_id,delta_nll,shade_start_s,shade_end_s,quality_score,peak_frac,unit_p80_span_frac,num_units,png,pdf
early_entry,naturalistic_V03_S1459_I00000149_P4679_P4711__early_entry__interrupt__k1,0.8918822407722473,4.72,6.72,0.787323816575502,0.25087719298245614,0.74859649122807,10,analysis/turnnat_paper/outputs/waveform_tbu_nll_cases_v19_late_rank3_label_92/waveform_tbu_nll_early_entry.png,analysis/turnnat_paper/outputs/waveform_tbu_nll_cases_v19_late_rank3_label_92/waveform_tbu_nll_early_entry.pdf
late_response,naturalistic_V02_S3310_I00000138_P4157_P4160__late_response__k1,0.8668966744885305,16.62,18.62,0.8116174301358012,0.7191836734693878,0.5706122448979593,11,analysis/turnnat_paper/outputs/waveform_tbu_nll_cases_v19_late_rank3_label_92/waveform_tbu_nll_late_response.png,analysis/turnnat_paper/outputs/waveform_tbu_nll_cases_v19_late_rank3_label_92/waveform_tbu_nll_late_response.pdf
hold_instead_of_shift,naturalistic_V02_S5129_I00000358_P5064_P5166__hold_instead_of_shift__k1,0.840484873453776,6.0600000000000005,8.06,0.9326055550339689,0.5507020280811232,0.6475819032761312,12,analysis/turnnat_paper/outputs/waveform_tbu_nll_cases_v19_late_rank3_label_92/waveform_tbu_nll_hold_instead_of_shift.png,analysis/turnnat_paper/outputs/waveform_tbu_nll_cases_v19_late_rank3_label_92/waveform_tbu_nll_hold_instead_of_shift.pdf
shift_instead_of_hold,naturalistic_V00_S176_I00000497_P0119_P0242__shift_instead_of_hold__k1,0.6638592779636383,7.98,9.98,0.8482279366738086,0.37922297297297297,0.6309121621621622,12,analysis/turnnat_paper/outputs/waveform_tbu_nll_cases_v19_late_rank3_label_92/waveform_tbu_nll_shift_instead_of_hold.png,analysis/turnnat_paper/outputs/waveform_tbu_nll_cases_v19_late_rank3_label_92/waveform_tbu_nll_shift_instead_of_hold.pdf
excessive_backchannel,naturalistic_V03_S1665_I00000082_P4761_P4779__excessive_backchannel__bc3__k1,1.7058460513750715,8.1,10.1,0.9504716981132074,0.42924528301886794,0.5944339622641511,12,analysis/turnnat_paper/outputs/waveform_tbu_nll_cases_v19_late_rank3_label_92/waveform_tbu_nll_excessive_backchannel.png,analysis/turnnat_paper/outputs/waveform_tbu_nll_cases_v19_late_rank3_label_92/waveform_tbu_nll_excessive_backchannel.pdf
